,MB_CODE_2016,SSC_CODE_2016,SSC_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
4687,10791200000,13087,Oolong,1,New South Wales,29.2193
4689,10790040000,12306,Lerida,1,New South Wales,81.2795
4690,10791160000,12018,Jerrawa,1,New South Wales,1.2371
4693,10792031000,11813,Gunning,1,New South Wales,43.0623
4696,10791210000,12232,Lade Vale,1,New South Wales,0.8854
4703,10912303100,11700,Good Hope,1,New South Wales,9.9061
4706,10912302000,10423,Boambolo,1,New South Wales,0.3864
4712,10913500000,14112,Wallaroo (NSW),1,New South Wales,27.8908
4716,10912420000,12860,Murrumbateman,1,New South Wales,1.2333
4758,10913412000,13625,Springrange,1,New South Wales,43.693000000000005
4760,10913582000,12004,Jeir,1,New South Wales,48.3661
4764,11205842200,12487,Marchmont,1,New South Wales,4.3636
4776,10911970000,12891,Nanima,1,New South Wales,67.4148
4783,10913730000,14518,Young,1,New South Wales,0.0884
4925,10338930000,10220,Barwang,1,New South Wales,53.2002
4954,10338960000,12161,Kingsvale,1,New South Wales,19.7799
4962,10913810000,10706,Burrangong,1,New South Wales,10.0278
4992,11209450000,11691,Godfreys Creek,1,New South Wales,140.9318
4993,11204970800,14434,Wyangala,1,New South Wales,3.9522
4996,10130450000,11945,Hovells Creek,1,New South Wales,46.2965
